date,nav_net,nav_gross
2019-07-22,130150.08449735277,136386.030868133
2019-07-23,128628.41682400672,134864.36319478697
2019-07-24,128555.68392674756,134791.63029752782
2019-07-25,128592.608933646,134828.55530442626
2019-07-26,128656.27708443617,134892.2234552164
2019-07-29,127942.89873365665,134178.84510443688
2019-07-30,128163.0848748323,134399.03124561254
2019-07-31,128914.57822199113,135150.52459277137
2019-08-01,130678.65346140295,136914.5998321832
2019-08-02,130875.66214435197,137111.6085151322
2019-08-05,134211.1948977188,140447.14126849902
2019-08-06,134036.43801443194,140272.38438521218
2019-08-07,135785.36627423743,142021.31264501766
2019-08-08,136437.0868886506,142673.03325943084
2019-08-09,135945.78434617072,142181.73071695096
2019-08-12,135031.24070152716,141267.1870723074
2019-08-13,133825.91604639395,140061.86241717418
2019-08-14,131591.797960997,137827.74433177724
2019-08-15,132790.12038890074,139026.06675968098
2019-08-16,132923.5886578391,139159.53502861934
2019-08-19,134130.808934684,140366.75530546423
2019-08-20,133888.96960056317,140124.9159713434
2019-08-21,132236.1007786402,138472.04714942042
2019-08-22,132134.3561660759,138370.30253685612
2019-08-23,132912.03962686588,139147.98599764612
2019-08-26,133052.59604236428,139288.54241314452
2019-08-27,132928.00267995836,139163.9490507386
2019-08-28,131962.16341224607,138198.1097830263
2019-08-29,131362.31731404347,137598.2636848237
2019-08-30,131452.8188996209,137688.76527040114
2019-09-03,134550.60815598397,140786.5545267642
2019-09-04,134883.79772873138,141119.74409951162
2019-09-05,134076.77497182245,140312.7213426027
2019-09-06,133373.49532380042,139609.44169458066
2019-09-09,132875.62267673627,139111.5690475165
2019-09-10,131739.9348989031,137975.88126968333
2019-09-11,132098.95465296158,138334.9010237418
2019-09-12,132774.00625442583,139009.95262520606
2019-09-13,132087.7610779722,138323.70744875242
2019-09-16,132145.2344195245,138381.18079030473
2019-09-17,132382.23231524765,138618.17868602788
2019-09-18,132155.3304724238,138391.27684320405
2019-09-19,132470.2399595101,138706.18633029034
2019-09-20,132597.393193218,138833.33956399825
2019-09-23,131643.84631170557,137879.7926824858
2019-09-24,128871.70692824126,135107.65329902148
2019-09-25,127881.2913414414,134117.23771222163
2019-09-26,127022.64903520583,133258.59540598604
2019-09-27,126593.05923578456,132829.00560656478
